,outlier_value,outlier_title,origin_context,centroid,covariance,fit_context,new_centroid,new_covariance,score
245,[155.557  -7.93 ],Give 'Em Hell,Witchfynde,[122.9278 -13.601 ],"[[731.03933596  23.4071028 ]
 [ 23.4071028    4.1285846 ]]",Steve Riley & The Mamou Playboys,[153.51572973  -7.76286486],"[[1854.03516595   15.92924612]
 [  15.92924612    3.39814566]]",0.11271502132573717
246,[ 90.075 -14.051],Gotta See Jane,R. Dean Taylor,[120.97128  -7.26316],"[[1291.6578036   -23.69451372]
 [ -23.69451372    8.90644625]]",Anais Mitchell,[ 89.56066667 -13.89333333],"[[20.91891456 -6.00196678]
 [-6.00196678  4.02917456]]",0.11265032768860035
247,[102.569  -1.512],Truck Driver,The Archies,[121.57991429 -10.23825714],"[[336.44324942   1.06791184]
 [  1.06791184  13.26765211]]",Bobby Fuller Four,[117.72825    -3.5320625],"[[697.43066494 -19.45919367]
 [-19.45919367   4.96367581]]",0.9520980862504145
248,[ 89.469 -17.62 ],Should Anybody Ask,The Archies,[121.57991429 -10.23825714],"[[336.44324942   1.06791184]
 [  1.06791184  13.26765211]]",Hank Jones_ Marion Cowings,[ 87.8125  -18.16875],"[[539.76155825  48.27229962]
 [ 48.27229962  11.06024719]]",0.16995112087476277
249,[88.751 -6.207],What Is Soul? (LP Version),Ben E. King,[114.7492126  -13.20322047],"[[786.14309507  16.59296706]
 [ 16.59296706  10.38281793]]",Larry Tee,[108.84062963  -6.3687037 ],"[[1198.00369538    6.09698096]
 [   6.09698096    5.26084713]]",0.5917848305873121
250,[186.224 -11.357],Perhaps_ Perhaps_ Perhaps (LP Version),Ben E. King,[114.7492126  -13.20322047],"[[786.14309507  16.59296706]
 [ 16.59296706  10.38281793]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",0.5243832541669675
251,[186.018 -12.717],Street Tough (LP Version),Ben E. King,[114.7492126  -13.20322047],"[[786.14309507  16.59296706]
 [ 16.59296706  10.38281793]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.6517685529130496
252,[208.338 -12.652],You Made The Difference To My Life (LP Version),Ben E. King,[114.7492126  -13.20322047],"[[786.14309507  16.59296706]
 [ 16.59296706  10.38281793]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",1.0724495991045944
253,[174.462  -6.748],Take Me To The Pilot,Ben E. King,[114.7492126  -13.20322047],"[[786.14309507  16.59296706]
 [ 16.59296706  10.38281793]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",0.3305935921549513
254,[235.988 -14.362],Now That We Found Love,Third World,[129.29423529 -11.1354902 ],"[[1130.44591004  -29.58286292]
 [ -29.58286292   19.91666725]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.7005244491728535
255,[231.24   -9.767],Dancing On The Floor (Hooked On Love),Third World,[129.29423529 -11.1354902 ],"[[1130.44591004  -29.58286292]
 [ -29.58286292   19.91666725]]",Diskjokke,[143.502    -8.91625],"[[ 3.88597590e+03 -3.19305720e+01]
 [-3.19305720e+01  1.18276969e+00]]",1.4139549498341828
256,[226.603 -10.472],Oney (Happy Clap),The Upsetters,[145.55552632 -12.42026316],"[[874.88426546  21.21331719]
 [ 21.21331719   9.93290483]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.2998946430748863
257,[ 90.365 -17.956],Whiplash,The Upsetters,[145.55552632 -12.42026316],"[[874.88426546  21.21331719]
 [ 21.21331719   9.93290483]]",Hank Jones_ Marion Cowings,[ 87.8125  -18.16875],"[[539.76155825  48.27229962]
 [ 48.27229962  11.06024719]]",0.11002895731621859
258,[147.915 -11.974],Proverbs Of Dub,The Upsetter,[137.02575 -13.24475],"[[57.40051219  0.29775781]
 [ 0.29775781  1.97037569]]",Tim Easton,[150.2801 -12.0738],"[[899.07374829  13.81682458]
 [ 13.81682458   6.99566016]]",0.09462656279069978
259,[ 41.47  -29.653],Avery Island / April 1st,Neutral Milk Hotel,[109.29285185 -10.78677778],"[[770.72444979  78.219636  ]
 [ 78.219636    28.88028569]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",1.3703781139531963
260,[ 0.    -6.381],Your Luck Won't Last [Craig C. Master Blaster Mix] (Remix Version),Was (Not Was),[112.29126667  -8.7433    ],"[[1262.8208508   -53.89772812]
 [ -53.89772812   14.89806228]]",Misconduct / The Almighty Trigger Happy,[127.5902  -7.0584],"[[ 3.45505608e+03 -1.16115983e+01]
 [-1.16115983e+01  7.83786840e-01]]",2.1896810442851313
261,[ 0.    -6.439],Your Luck Won't Last [Craig C. Master Blaster Radio Edit] (Remix Version),Was (Not Was),[112.29126667  -8.7433    ],"[[1262.8208508   -53.89772812]
 [ -53.89772812   14.89806228]]",Misconduct / The Almighty Trigger Happy,[127.5902  -7.0584],"[[ 3.45505608e+03 -1.16115983e+01]
 [-1.16115983e+01  7.83786840e-01]]",2.181856861091738
262,[214.208 -13.231],Caught In The Act,Jocelyn Brown,[125.20410714 -11.65532143],"[[1067.21879381   10.87879611]
 [  10.87879611   12.281766  ]]",Andy Irvine,[155.73733333 -14.09733333],"[[2.76997235e+03 3.44346258e+01]
 [3.44346258e+01 9.68590556e-01]]",1.1270429411607807
263,[145.269  -9.402],What I Cannot Change,LeAnn Rimes,[123.81334783  -6.30078261],"[[498.92953601  -5.0421049 ]
 [ -5.0421049    1.82720421]]",Jackson Sisters,[141.60783333  -9.52016667],"[[2235.41267247   44.30704381]
 [  44.30704381    4.73248581]]",0.08084412906353869
264,[86.593 -7.44 ],Margarita,Traveling Wilburys,[126.1273913   -5.46526087],"[[7.89434947e+02 3.66411036e+00]
 [3.66411036e+00 7.64534671e-01]]",Prefuse-73,[93.5712 -7.6654],"[[7.45975044e+02 1.32213728e+00]
 [1.32213728e+00 2.93131240e-01]]",0.5096003021118432
265,[108.948 -15.95 ],Start Again,Ian McCulloch,[114.36280851  -7.9313617 ],"[[648.56041971  -9.53711722]
 [ -9.53711722   4.20910855]]",Stacey Kent,[109.84112245 -15.77128571],"[[1159.87604262   52.5214491 ]
 [  52.5214491    11.63526827]]",0.05246989396668843
266,[216.862  -8.47 ],Lover_ Lover_ Lover [Indian Dawn Remix],Ian McCulloch,[114.36280851  -7.9313617 ],"[[648.56041971  -9.53711722]
 [ -9.53711722   4.20910855]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",1.1348669874584234
267,[100.233 -15.585],Enchanted Lady,The Pasadenas,[111.3371   -10.869475],"[[749.10653054  -2.15766693]
 [ -2.15766693   2.7027027 ]]",mechanical bride,[100.182      -14.96171429],"[[381.68237986 -32.40343971]
 [-32.40343971  14.58243378]]",0.17996397048505117
268,[214.043 -13.979],Love Changes,The Pasadenas,[111.3371   -10.869475],"[[749.10653054  -2.15766693]
 [ -2.15766693   2.7027027 ]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.2333647727673758
269,[103.992 -18.697],Linger,Lisa Loeb,[116.07418644  -9.72055932],"[[1339.69187081   -2.79108027]
 [  -2.79108027   10.53967135]]",Chordettes,[104.05511765 -18.37544118],"[[867.37854052  50.58264917]
 [ 50.58264917  12.15007889]]",0.10482167237351273
270,[  0.    -13.925],H.A.P.P.Y,Lisa Loeb,[116.07418644  -9.72055932],"[[1339.69187081   -2.79108027]
 [  -2.79108027   10.53967135]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",1.9408847059328909
271,[234.028 -14.4  ],Days Were Different,Lisa Loeb,[116.07418644  -9.72055932],"[[1339.69187081   -2.79108027]
 [  -2.79108027   10.53967135]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.6637835761745705
272,[145.13  -11.395],Hurricane,Lisa Loeb & Nine Stories,[121.78925  -7.6085 ],"[[614.48989669 -30.38022737]
 [-30.38022737   4.79278125]]",John Abercrombie / Peter Erskine / Bob Mintzer / John Patitucci,[145.2398 -11.5912],"[[745.08603596  11.12763016]
 [ 11.12763016   8.16671556]]",0.07006020765449382
273,[ 87.17  -22.533],The Holy Harbour,Voice Of The Seven Woods,[126.28146154 -13.34653846],"[[1148.52574248   -9.52144767]
 [  -9.52144767   30.93944171]]",Royal Liverpool Philharmonic Orchestra,[ 87.72357143 -22.44214286],"[[274.11474924  33.11320665]
 [ 33.11320665  15.44515684]]",0.034178898031106755
274,[ 59.397 -15.4  ],Merch Sydd Yn Fy Mhoced,Radio Luxembourg,[113.1355 -10.1985],"[[970.01644775  92.85991925]
 [ 92.85991925   9.27556725]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.7311666168109353
275,[155.853 -13.596],Guilty,Barbra Streisand & Barry Gibb,[128.288 -11.704],"[[759.829226 -52.15298 ]
 [-52.15298    3.579665]]",Martin Carthy_ Dave Swarbrick,[153.7855 -13.514 ],"[[1670.60789225  -16.298445  ]
 [ -16.298445      3.1834932 ]]",0.06182767541734126
276,[178.641 -12.896],Hardly Getting Over It,Husker Du,[149.24338  -9.05736],"[[1076.70749416    5.2719161 ]
 [   5.2719161     1.72599415]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.5563315181408582
277,[ 92.349 -13.697],Too Far Down,Husker Du,[149.24338  -9.05736],"[[1076.70749416    5.2719161 ]
 [   5.2719161     1.72599415]]",Bobby Vinton,[ 95.03596078 -13.64717647],"[[1220.16203778   -3.18747426]
 [  -3.18747426    4.9939535 ]]",0.08102550215357036
278,[107.224 -11.281],A Last Resort,frYars,[106.315       -6.74733333],"[[848.86370967   9.88301883]
 [  9.88301883   2.66948156]]",Pat Metheny/Ornette Coleman,[109.74046154 -11.38607692],"[[1118.54536017   -8.41766958]
 [  -8.41766958    4.66303846]]",0.08529116811606773
279,[153.146 -24.407],Marantha (Come Lord),Lisa Gerrard & Patrick Cassidy,[103.6   -24.069],"[[ 2.45480612e+03 -1.67465480e+01]
 [-1.67465480e+01  1.14245000e-01]]",Jascha Heifetz,[129.39677778 -23.97155556],"[[1017.17955028   40.6546141 ]
 [  40.6546141    11.98784702]]",0.8599480439011936
280,[ 92.212 -25.801],Mirror Medusa,Lisa Gerrard,[111.2174375 -18.078625 ],"[[2604.26652425   63.6125254 ]
 [  63.6125254    11.45941711]]",Yo-Yo Ma;Emanuel Ax,[ 86.75392857 -26.761     ],"[[795.75271578   2.35631121]
 [  2.35631121   7.27806329]]",0.3999421796424072
281,[137.921 -17.82 ],Now We Are Free,Lisa Gerrard / Gavin Greenaway / The Lyndhurst Orchestra / Bruce Fowler / Yvonne S. Moriarty / Walt Fowler / Ladd McIntosh / Elizabeth Finch / Jack Smalley / Hans Zimmer,[137.9365 -17.7025],"[[0.00024125 0.00182125]
 [0.00182125 0.01380725]]",James Yorkston,[131.07881481 -17.27033333],"[[694.828191    23.65131686]
 [ 23.65131686  13.62532574]]",0.33933210490863436
282,[  0.    -20.557],Immortal Memory,Lisa Gerrard_Patrick Cassidy,[123.81855556 -19.89144444],"[[1985.26180036   -3.7993352 ]
 [  -3.7993352     9.33861702]]",Rabih Abou-Khalil / Joachim Kühn / Jarrod Cagwin,[108.58066667 -17.07533333],"[[3.76174168e+03 6.11273642e+01]
 [6.11273642e+01 2.39470922e+00]]",2.2887599321473826
283,[220.739 -14.073],Homeward Throught The Haze,Crosby & Nash,[116.77271429 -13.20559524],"[[1090.97532011    9.53841264]
 [   9.53841264    7.82542081]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",1.3550180020196296
284,[ 60.537 -20.049],Grace,Crosby & Nash,[116.77271429 -13.20559524],"[[1090.97532011    9.53841264]
 [   9.53841264    7.82542081]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.44632427209220027
285,[215.938 -18.255],Live On [The Wall],Crosby / Nash,[144.35916667 -14.492     ],"[[2709.07859481  131.85256783]
 [ 131.85256783   24.50006733]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.623598918506598
286,[ 76.646 -13.287],Here Lies Love,Amy Studt,[120.32475676  -7.48045946],"[[842.55409762  14.82798708]
 [ 14.82798708   8.22812022]]",Bobby Vinton,[ 95.03596078 -13.64717647],"[[1220.16203778   -3.18747426]
 [  -3.18747426    4.9939535 ]]",0.5447114457825764
287,[159.978 -16.014],Rose,Amy Studt,[120.32475676  -7.48045946],"[[842.55409762  14.82798708]
 [ 14.82798708   8.22812022]]",Leo Kottke;Michael Gordon,[159.1355   -16.059375],"[[810.2811895   -0.96951869]
 [ -0.96951869   2.86951473]]",0.04032422132310973
288,[207.645  -8.062],Intriga Submarina,Zombies,[137.6783  -7.1049],"[[1.14435903e+03 1.65704370e-01]
 [1.65704370e-01 1.37813749e+00]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",1.0609080351382645
289,[ 78.667 -24.388],Knowing You,The Zombies,[117.95570192  -9.76432692],"[[783.7853804   43.14338587]
 [ 43.14338587  13.07124176]]",Paul Rutherford_ Philipp Wachsmann _ Barry Guy,[ 76.2505  -24.14275],"[[196.83746575 -12.44635612]
 [-12.44635612   3.21036019]]",0.18219069905904917
290,[ 51.248 -19.214],The Way I Feel Inside / Studio Chat,The Zombies,[117.95570192  -9.76432692],"[[783.7853804   43.14338587]
 [ 43.14338587  13.07124176]]",Sir Charles Mackerras/Scottish Chamber Orchestra/Edinburgh Festival Chorus,[ 78.2424 -19.7146],"[[515.75984044  -4.31133916]
 [ -4.31133916   1.47353964]]",1.2105582400131734
291,[139.334 -23.778],Sometimes,The Zombies,[117.95570192  -9.76432692],"[[783.7853804   43.14338587]
 [ 43.14338587  13.07124176]]",Jascha Heifetz,[129.39677778 -23.97155556],"[[1017.17955028   40.6546141 ]
 [  40.6546141    11.98784702]]",0.31793283424450575
292,[164.469 -12.722],Summertime,The Zombies,[117.95570192  -9.76432692],"[[783.7853804   43.14338587]
 [ 43.14338587  13.07124176]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.18178759763561148
293,[196.86   -8.729],Hey Lawdy Mama,Steppenwolf,[120.07263793  -9.87291379],"[[863.17047882  -4.73257068]
 [ -4.73257068   8.15037301]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.7460531186599066
294,[198.244 -13.   ],America,Steppenwolf,[120.07263793  -9.87291379],"[[863.17047882  -4.73257068]
 [ -4.73257068   8.15037301]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",0.9786058435769931
295,[170.48   -9.118],Snowblind Friend,Steppenwolf / John Kay,[134.77866667  -9.75666667],"[[637.33906589  11.10864178]
 [ 11.10864178   2.03880256]]",Too Much,[168.892       -9.08666667],"[[ 1.35717188e+03 -1.93007657e+01]
 [-1.93007657e+01  9.67322556e-01]]",0.044368793879156154
296,[142.114  -8.826],Drift Away,John Kay,[108.789       -8.93933333],"[[5.55735422e+02 1.62329667e+00]
 [1.62329667e+00 1.60023222e-01]]",Big Youth,[142.807     -8.670225],"[[401.21812515  19.72002502]
 [ 19.72002502   7.04588387]]",0.06028995973516843
297,[122.931  -2.817],Sexbomb,Tom Jones / Mousse T.,[122.9485  -3.516 ],"[[ 3.07250e-04 -1.22325e-02]
 [-1.22325e-02  4.88602e-01]]",Bobby Fuller Four,[117.72825    -3.5320625],"[[697.43066494 -19.45919367]
 [-19.45919367   4.96367581]]",0.454094777666132
298,[137.144 -21.407],Falling Star,Robert Forster,[117.3735122  -12.74370732],"[[454.49934296   8.27997597]
 [  8.27997597   9.36543974]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.3449349880747238
299,[176.741 -11.   ],Rock-N-Roll Friend,Robert Forster,[117.3735122  -12.74370732],"[[454.49934296   8.27997597]
 [  8.27997597   9.36543974]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",0.2867738196963005
300,[196.213  -6.453],Diblo dibala,Diblo Dibala,[142.49075  -6.4765 ],"[[9.78936792e+02 3.76191637e+00]
 [3.76191637e+00 6.60640250e-01]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",0.5788124824020664
301,[ 59.737 -12.152],I'm Right,The Sonics,[127.4322449  -11.46942857],"[[774.56667033   3.14602508]
 [  3.14602508   7.57616749]]",Anais Mitchell [feat. The Haden Triplets],[ 80.888      -10.62666667],"[[1052.10382167   33.655001  ]
 [  33.655001      7.72155056]]",0.7304920018868858
302,[137.986 -18.088],Diddy Wah Diddy,The Sonics,[127.4322449  -11.46942857],"[[774.56667033   3.14602508]
 [  3.14602508   7.57616749]]",Terje Rypdal_ Torbjørn Sunde_ Brynjulf Blix_ Sveinung Hovensjø_ Svein Christiansen,[137.35066667 -18.50233333],"[[2101.65697356   43.68305722]
 [  43.68305722    3.57398656]]",0.24605949791613493
303,[73.578 -9.926],Staggerlee,The Sonics_ Charlie & The Tunas,[103.62077778 -11.881     ],"[[921.84995317  66.19794611]
 [ 66.19794611   8.288979  ]]",Anais Mitchell [feat. The Haden Triplets],[ 80.888      -10.62666667],"[[1052.10382167   33.655001  ]
 [  33.655001      7.72155056]]",0.42686182209006607
304,[192.392  -4.083],Sweeter As The Days Go By,Frank Wilson,[146.3938  -6.5892],"[[538.55739676  27.16712616]
 [ 27.16712616   2.61464356]]",First Class,[173.76636364  -6.12709091],"[[1247.77548432  101.30548149]
 [ 101.30548149    9.26826963]]",0.7410630809380077
305,[240.199  -5.357],Only Human Remains,Fractured,[126.09815385  -6.36161538],"[[ 1.71038116e+03 -2.42069444e+00]
 [-2.42069444e+00  1.29668478e+00]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",1.476318362532713
306,[227.186 -11.308],Honey For The Bees,Alison Moyet,[118.02335294 -10.39843137],"[[1094.0810686   -12.261684  ]
 [ -12.261684     10.06881325]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",1.3152491602814904
307,[ 97.105 -20.873],Love Letters,Alison Moyet,[118.02335294 -10.39843137],"[[1094.0810686   -12.261684  ]
 [ -12.261684     10.06881325]]",Academy of Ancient Music & Richard Egarr,[104.08116667 -20.7965    ],"[[1734.19057447   61.19292025]
 [  61.19292025    5.26366058]]",0.1932241815464465
308,[160.075  -3.512],Wounded,Nik Kershaw,[124.51983333 -10.34958333],"[[891.48751443   3.79480438]
 [  3.79480438  10.72630424]]",The Arrogant Sons Of Bitches,[161.66856  -3.739  ],"[[1592.76077613  -17.04620496]
 [ -17.04620496    2.03069484]]",0.15950605460546893
309,[150.779 -16.729],Roses,Nik Kershaw,[124.51983333 -10.34958333],"[[891.48751443   3.79480438]
 [  3.79480438  10.72630424]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",0.19884459773393803
310,[121.319 -26.186],Invisible Ink (Prelude),temposhark,[116.74957447  -7.03382979],"[[524.43380052   9.51771177]
 [  9.51771177  19.06846829]]",David Zinman;Pittsburgh Symphony Orchestra,[124.640125 -25.658375],"[[760.25067811  11.9322618 ]
 [ 11.9322618   14.70024798]]",0.1734570529986444
311,[ 96.72  -21.533],Invisible Ink (Reprise),temposhark,[116.74957447  -7.03382979],"[[524.43380052   9.51771177]
 [  9.51771177  19.06846829]]",Evan Parker_ Barry Guy_ Lawrence Casserley,[110.948      -21.28483333],"[[3.43489696e+03 3.51755145e+01]
 [3.51755145e+01 2.08148147e+00]]",0.25501861187086966
312,[235.078 -12.786],Suppose You Gave A Funeral And Nobody Came,Carter USM,[120.45704762  -9.09259524],"[[800.15866852   3.23253087]
 [  3.23253087  13.33534265]]",Andy Irvine,[155.73733333 -14.09733333],"[[2.76997235e+03 3.44346258e+01]
 [3.44346258e+01 9.68590556e-01]]",1.5709869565930394
313,[102.399 -24.594],Suicide Isn't Painless,Carter USM,[120.45704762  -9.09259524],"[[800.15866852   3.23253087]
 [  3.23253087  13.33534265]]",Yo-Yo Ma;Patricia Zander,[104.5824 -24.823 ],"[[721.39272524 -25.1189394 ]
 [-25.1189394    2.8623038 ]]",0.13557845270296695
314,[ 65.237 -22.277],As You Are Leaving The Building,Carter USM,[120.45704762  -9.09259524],"[[800.15866852   3.23253087]
 [  3.23253087  13.33534265]]",Suzie Le Blanc/Teatro Lirico/Stephen Stubbs,[ 69.0692 -22.72  ],"[[436.03736316 -24.8564828 ]
 [-24.8564828    4.1170806 ]]",0.22880827777984672
315,[115.681 -11.866],Suicide Isn't Painless,Carter The Unstoppable Sex Machine,[123.27642857  -8.75914286],"[[840.07422796 -29.78856022]
 [-29.78856022   2.39752355]]",Gladys Knight & The Pips,[115.425625  -11.8789375],"[[685.70270994  12.42821909]
 [ 12.42821909  15.11939868]]",0.00998719453393031
316,[215.359  -8.491],Pull Up To The Bumper,Grace Jones,[121.27695699 -11.0406129 ],"[[813.00568805   8.8242852 ]
 [  8.8242852   14.11000354]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",1.1055098404460726
317,[204.009 -11.125],Barefoot In Beverley Hills (2004 Digital Remaster),Grace Jones,[121.27695699 -11.0406129 ],"[[813.00568805   8.8242852 ]
 [  8.8242852   14.11000354]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.8401416652962831
318,[ 56.379 -24.117],Operattack,Grace Jones,[121.27695699 -11.0406129 ],"[[813.00568805   8.8242852 ]
 [  8.8242852   14.11000354]]",Eri Esittäjiä,[ 88.348      -24.37466667],"[[1449.08644167  -41.30328   ]
 [ -41.30328       2.86889789]]",0.9786594471686088
319,[ 97.973 -23.571],Don't Cry - It's Only The Rhythm,Grace Jones,[121.27695699 -11.0406129 ],"[[813.00568805   8.8242852 ]
 [  8.8242852   14.11000354]]",Scottish Chamber Orchestra/Jukka-Pekka Saraste,[ 98.47725 -23.94375],"[[633.18309219   3.93449469]
 [  3.93449469  10.59916069]]",0.11731380088050049
320,[ 92.001 -14.774],My Jamaican Guy (Accapella),Grace Jones & Bounty Killer,[92.13083333 -9.77183333],"[[3.45613889e-03 1.29372194e-01]
 [1.29372194e-01 5.57713881e+00]]",Dr. Strangely Strange,[ 90.54925 -14.867  ],"[[681.59010385 -16.77689225]
 [-16.77689225   3.709198  ]]",0.09010999283132266
321,[211.232 -12.798],Love & Happiness,First Choice,[119.77619753 -10.79337037],"[[6.53752884e+02 4.33354230e-03]
 [4.33354230e-03 5.49368834e+00]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",1.1447349689283748
322,[ 0.    -8.291],"My Imagination"" Mix 1",First Choice,[119.77619753 -10.79337037],"[[6.53752884e+02 4.33354230e-03]
 [4.33354230e-03 5.49368834e+00]]",Fashawn,[112.76475  -9.27975],"[[2461.14172349  -19.55022789]
 [ -19.55022789    3.15694529]]",2.2736630738502224
323,[115.32   -3.841],Happy Love Affair,First Choice,[119.77619753 -10.79337037],"[[6.53752884e+02 4.33354230e-03]
 [4.33354230e-03 5.49368834e+00]]",Kinesis,[117.81244  -4.00536],"[[726.56085221 -10.05544352]
 [-10.05544352   3.23075603]]",0.11834412213793627
324,[178.961 -12.08 ],St. Andrew's Hall,Blind Melon,[147.25886957  -7.92907246],"[[1414.3826123    16.41996822]
 [  16.41996822    4.93876962]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.31802994882604724
325,[104.748 -18.106],Letters From A Porcupine,Blind Melon,[147.25886957  -7.92907246],"[[1414.3826123    16.41996822]
 [  16.41996822    4.93876962]]",Chordettes,[104.05511765 -18.37544118],"[[867.37854052  50.58264917]
 [ 50.58264917  12.15007889]]",0.07908954140692004
326,[ 82.574 -12.452],Life Ain't So Shitty,Blind Melon,[147.25886957  -7.92907246],"[[1414.3826123    16.41996822]
 [  16.41996822    4.93876962]]",David S. Ware,[ 94.40391667 -12.23516667],"[[1110.16546558  -12.2184951 ]
 [ -12.2184951     4.42240814]]",0.3926141354584964
327,[223.746 -20.672],Statues,Jack Bruce,[126.57822581 -12.81183871],"[[869.3880413   -6.01300404]
 [ -6.01300404   8.4385412 ]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",1.760209012712816
328,[199.141 -12.958],Morning Story,Jack Bruce,[126.57822581 -12.81183871],"[[869.3880413   -6.01300404]
 [ -6.01300404   8.4385412 ]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",0.9737654192290384
329,[126.917 -21.775],FM,Jack Bruce,[126.57822581 -12.81183871],"[[869.3880413   -6.01300404]
 [ -6.01300404   8.4385412 ]]",Grover Washington_ Jr.;Orchestra of St. Luke's,[127.06471429 -21.64657143],"[[42.39007463 -1.40123759]
 [-1.40123759  2.92107896]]",0.08183389882099337
330,[139.888  -9.019],Bad Case of Celebrity,Jack Bruce and Robin Trower,[134.8105  -7.9545],"[[25.78100725 -5.40499875]
 [-5.40499875  1.13316125]]",Maxine Nightingale,[140.34866667  -8.85933333],"[[315.62228622  34.16543122]
 [ 34.16543122   8.83656456]]",0.05494295476360218
331,[127.965 -16.159],Sally_ Go 'Round the Roses (LP Version),Alannah Myles,[119.33028571  -9.08722449],"[[724.13560553  -7.077267  ]
 [ -7.077267     6.71383591]]",Myleene Klass,[124.26130769 -15.97584615],"[[1347.12640675   45.52400349]
 [  45.52400349    8.28631036]]",0.15578725864917028
